date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2007-01-14,54.17,63.72,35.21,42.85,1986.54
2007-01-15,55.37,65.5,36.98,44.88,2055.02
2007-01-16,56.53,66.04,38.69,46.06,2035.65
2007-01-17,56.81,66.03,38.22,45.4,2085.4
2007-01-18,59.01,66.65,39.15,46.82,2159.64
2007-01-21,60.45,68.39,41.03,47.77,2258.99
2007-01-22,62.3,70.99,42.86,50.36,2261.78
2007-01-23,60.21,70.21,42.31,49.83,2283.7
2007-01-24,60.43,70.44,42.42,49.56,2174.24
2007-01-25,59.65,68.57,40.52,48.41,2186.27
2007-01-28,60.34,69.3,40.58,48.07,2260.6
2007-01-29,59.92,69.74,41.74,49.74,2255.94
2007-01-30,61.91,70.29,42.13,49.98,2142.89
2007-01-31,60.41,68.33,40.68,47.14,2165.41
2007-02-01,61.15,67.55,40.94,47.46,2127.1
2007-02-04,59.56,65.72,40.11,47.23,2152.25
2007-02-05,60.84,66.45,40.32,47.82,2198.24
2007-02-06,60.04,68.11,41.12,48.33,2237.94
2007-02-07,61.72,69.28,41.73,49.47,2278.45
2007-02-08,60.97,68.84,42.5,50.53,2287.38
2007-02-11,61.09,69.09,42.45,50.44,2341.07
2007-02-12,62.37,70.08,43.55,51.52,2384.16
2007-02-13,62.82,71.32,44.18,52.53,2435.96
2007-02-14,63.0,72.84,44.42,53.94,2512.4
2007-02-15,65.02,74.55,45.94,55.36,2541.41
2007-02-25,65.32,75.92,47.15,56.27,2642.11
2007-02-26,69.41,77.88,48.96,57.67,2405.57
2007-02-27,63.26,72.2,44.21,52.73,2513.53
2007-02-28,66.58,74.44,45.7,54.14,2459.51
2007-03-01,64.34,72.36,44.15,52.88,2503.68
2007-03-04,65.54,73.74,45.63,53.41,2511.92
2007-03-05,66.3,73.95,46.54,54.14,2516.0
2007-03-06,66.11,75.19,46.35,54.4,2580.6
2007-03-07,66.71,76.57,47.23,55.45,2634.88
2007-03-08,68.17,77.12,47.62,56.22,2638.05
2007-03-11,68.34,78.16,47.97,57.94,2696.5
2007-03-12,68.41,78.24,48.5,58.91,2727.45
2007-03-13,68.64,78.57,48.49,59.04,2708.69
2007-03-14,68.3,77.41,48.49,59.06,2760.84
2007-03-15,69.64,78.03,49.85,59.44,2710.86
2007-03-18,68.81,77.68,49.22,59.15,2751.48
2007-03-19,69.39,78.76,50.2,60.29,2810.71
2007-03-20,70.27,80.56,50.29,61.8,2859.01
2007-03-21,71.42,80.87,51.61,62.8,2861.15
2007-03-22,71.63,81.03,51.29,62.38,2898.0
2007-03-25,72.94,81.69,52.08,62.96,2989.05
2007-03-26,73.0,83.15,52.99,65.05,3039.53
2007-03-27,73.71,83.41,53.2,65.6,3004.3
2007-03-28,72.54,83.22,52.76,64.64,2894.78
2007-03-29,71.68,82.12,51.6,63.11,2926.06
2007-04-01,71.9,82.44,52.08,63.55,2993.63
2007-04-02,73.12,83.45,53.37,65.19,3042.46
2007-04-03,74.34,83.83,54.14,66.63,3078.9
2007-04-04,74.27,84.25,54.63,67.13,3133.14
2007-04-05,75.49,85.82,55.0,68.26,3182.8
2007-04-08,76.05,85.45,55.8,69.12,3240.3
2007-04-09,77.38,86.28,56.23,69.62,3261.53
2007-04-10,77.88,85.98,55.92,68.77,3309.74
2007-04-11,78.4,86.27,56.99,69.69,3387.41
2007-04-12,79.13,87.13,58.93,71.94,3358.63
2007-04-15,79.09,89.55,58.48,70.47,3458.07
2007-04-16,80.98,87.59,60.45,71.57,3558.22
2007-04-17,82.48,88.48,61.77,72.0,3649.71
2007-04-18,83.84,89.62,61.77,71.39,3435.78
2007-04-19,78.97,84.41,58.93,66.99,3614.39
2007-04-22,82.53,86.16,62.26,69.14,3782.26
2007-04-23,83.67,88.23,64.57,69.81,3821.42
2007-04-24,84.68,84.19,64.4,67.03,3805.05
2007-04-25,86.01,83.47,65.12,65.77,3853.27
2007-04-26,84.72,84.42,65.77,65.21,3845.81
2007-04-29,85.69,82.63,66.15,62.06,3903.69
2007-05-07,85.68,80.75,65.7,59.4,4091.13
2007-05-08,86.68,81.88,66.76,62.16,4099.13
2007-05-09,86.09,81.38,67.84,61.64,4128.08
2007-05-10,86.86,81.12,68.35,61.65,4109.4
2007-05-13,86.24,80.51,68.1,60.95,4133.83
2007-05-14,87.4,80.0,68.9,60.91,3998.78
2007-05-15,86.65,81.04,66.11,60.26,4118.14
2007-05-16,88.23,82.32,67.61,61.69,4221.91
2007-05-17,88.11,83.47,69.12,63.09,4235.19
2007-05-20,90.5,83.69,69.9,63.52,4364.16
2007-05-21,90.94,84.52,71.82,65.92,4459.81
2007-05-22,91.86,86.0,73.89,66.69,4582.31
2007-05-23,93.53,87.56,75.23,66.97,4571.71
2007-05-24,93.84,87.79,74.63,67.06,4649.86
2007-05-27,94.3,88.0,75.22,68.26,4761.7
2007-05-28,96.7,90.25,78.64,70.18,4853.64
2007-05-29,97.36,91.27,79.57,72.31,4456.28
2007-05-30,92.45,87.04,72.79,66.66,4267.78
2007-05-31,89.75,84.17,69.9,64.22,3960.44
2007-06-03,86.62,81.68,66.2,60.5,3618.69
2007-06-04,79.9,75.22,60.11,55.63,3659.94
2007-06-05,81.82,76.41,62.53,56.88,3736.93
2007-06-06,82.84,77.22,63.4,58.48,3936.77
2007-06-07,85.74,80.35,66.74,61.14,4002.87
2007-06-10,86.15,81.71,67.3,61.98,4104.55
2007-06-11,87.61,82.51,69.68,63.77,4218.44
2007-06-12,89.78,83.65,70.91,64.8,4372.53
2007-06-13,91.32,86.58,73.73,67.06,4311.98
2007-06-14,90.32,85.71,72.55,65.87,4316.53
2007-06-17,91.37,85.83,72.83,66.59,4439.19
2007-06-18,93.08,87.95,74.59,68.69,4529.03
2007-06-19,93.36,88.75,75.75,69.72,4396.22
2007-06-20,91.68,86.74,73.67,68.38,4374.49
2007-06-21,91.06,85.28,73.89,67.68,4123.22
2007-06-24,87.59,82.53,69.89,64.17,3851.94
2007-06-25,83.6,78.77,65.77,60.28,3928.7
2007-06-26,85.21,80.53,67.35,61.71,4022.31
2007-06-27,86.0,82.22,68.34,62.95,3757.98
2007-06-28,81.97,76.54,64.33,58.84,3585.49
2007-07-01,78.08,70.99,60.42,53.99,3644.79
2007-07-02,79.29,72.43,62.05,55.67,3704.71
2007-07-03,79.93,72.96,62.54,56.54,3622.52
2007-07-04,79.42,72.19,61.44,55.58,3380.18
2007-07-05,75.66,68.36,57.79,51.96,3591.38
2007-07-08,78.93,71.54,60.8,54.69,3711.71
2007-07-09,81.65,73.94,62.55,56.88,3606.19
2007-07-10,78.76,71.66,60.13,54.86,3653.31
2007-07-11,79.94,72.84,61.52,55.67,3671.18
2007-07-12,80.46,72.59,61.93,55.86,3655.84
2007-07-15,80.54,72.24,62.06,55.78,3532.06
2007-07-16,78.25,69.7,59.73,53.97,3610.38
2007-07-17,78.42,71.03,60.72,54.99,3624.34
2007-07-18,78.67,71.01,60.84,55.24,3640.28
2007-07-19,79.09,71.32,61.18,55.28,3788.74
2007-07-22,82.11,73.93,63.69,57.26,3984.79
2007-07-23,84.07,77.15,66.48,59.96,3993.02
2007-07-24,85.17,77.59,67.06,60.39,4106.83
2007-07-25,86.16,79.21,68.64,61.32,4190.88
2007-07-26,86.86,80.63,69.65,62.29,4269.77
2007-07-29,88.6,82.2,71.4,63.5,4353.09
2007-07-29,88.6,82.2,71.4,63.5,4353.09
2007-07-30,89.4,83.85,71.93,64.88,4403.58
2007-07-30,89.4,83.85,71.93,64.88,4403.58
2007-07-31,90.52,83.41,72.63,64.69,4161.14
2007-07-31,90.52,83.41,72.63,64.69,4161.14
2007-08-01,87.27,78.99,69.58,61.14,4336.81
2007-08-02,89.72,81.27,72.57,63.6,4408.05
2007-08-02,89.72,81.27,72.57,63.6,4408.05
2007-08-05,91.03,82.36,73.71,64.06,4504.34
2007-08-05,91.03,82.36,73.71,64.06,4504.34
2007-08-06,92.58,84.04,74.56,65.34,4470.14
2007-08-06,92.58,84.04,74.56,65.34,4470.14
2007-08-07,91.07,83.66,73.6,64.32,4395.43
2007-08-07,91.07,83.66,73.6,64.32,4395.43
2007-08-08,90.58,82.88,73.42,62.82,4442.06
2007-08-09,90.38,83.44,72.92,63.55,4348.81
2007-08-09,90.38,83.44,72.92,63.55,4348.81
2007-08-12,89.65,82.39,71.21,62.95,4329.77
2007-08-12,89.65,82.39,71.21,62.95,4329.77
2007-08-13,89.8,81.48,71.14,62.35,4436.21
2007-08-13,89.8,81.48,71.14,62.35,4436.21
2007-08-14,89.91,82.43,73.23,63.95,4412.8
2007-08-15,89.65,81.54,72.15,62.8,4438.96
2007-08-16,90.51,81.57,72.8,62.62,4390.88
2007-08-19,90.29,81.28,72.89,62.11,4570.57
2007-08-19,90.29,81.28,72.89,62.11,4570.57
2007-08-20,92.82,83.14,75.59,64.11,4625.28
2007-08-20,92.82,83.14,75.59,64.11,4625.28
2007-08-21,93.28,84.48,75.66,64.27,4685.06
2007-08-22,94.35,85.32,76.38,64.56,4733.84
2007-08-23,94.65,86.12,76.96,65.72,4742.95
2007-08-26,95.18,84.85,77.54,65.31,4724.54
2007-08-26,95.18,84.85,77.54,65.31,4724.54
2007-08-27,94.11,83.52,77.06,63.33,4729.79
2007-08-28,95.58,83.24,76.89,63.59,4701.44
2007-08-29,94.19,82.01,75.65,62.58,4843.71
2007-08-30,96.49,83.77,77.87,64.15,4897.64
2007-09-02,96.54,82.06,77.82,64.37,5008.83
2007-09-03,97.91,82.84,79.97,65.59,4980.53
2007-09-04,97.73,83.02,79.73,65.49,5010.73
2007-09-05,98.92,83.57,80.25,65.55,5065.52
2007-09-06,99.6,83.56,81.18,66.24,4939.23
