date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2014-10-16,78.39,75.65,59.75,56.91,6058.67
2014-10-19,77.73,74.72,58.87,55.89,6154.52
2014-10-20,78.87,75.79,59.92,57.16,6103.01
2014-10-21,78.03,75.51,59.59,56.16,6027.51
2014-10-22,78.4,74.78,58.89,55.67,5930.48
2014-10-23,77.29,73.14,57.89,54.65,5941.93
2014-10-26,76.97,73.16,57.97,55.25,6006.84
2014-10-27,77.6,73.51,58.53,55.3,6163.67
2014-10-28,79.46,72.77,60.02,56.04,6246.7
2014-10-29,79.86,73.27,60.92,56.12,6241.59
2014-10-30,79.64,73.31,60.88,57.13,6208.61
2014-11-02,80.29,73.24,60.31,57.62,6275.99
2014-11-03,79.88,73.58,60.77,57.33,6231.82
2014-11-04,79.68,73.76,59.85,56.59,6227.25
2014-11-05,80.1,73.7,60.19,56.78,6289.19
2014-11-06,80.15,74.6,60.66,57.51,6228.17
2014-11-09,78.58,74.19,59.43,56.55,6246.61
2014-11-10,78.8,74.63,59.89,56.87,6023.0
2014-11-11,77.02,71.54,57.49,54.5,6120.06
2014-11-12,77.14,72.72,58.51,55.63,6023.78
2014-11-13,76.49,72.24,57.27,54.57,6009.45
2014-11-16,76.22,72.01,56.94,53.87,6100.83
2014-11-17,76.6,73.09,57.63,54.83,6139.52
2014-11-18,77.35,73.31,57.66,55.26,6193.56
2014-11-19,77.9,72.89,58.79,55.96,6185.92
2014-11-20,77.03,72.79,58.68,55.82,6240.77
2014-11-23,77.87,73.28,58.87,56.32,6293.02
2014-11-24,78.49,73.9,59.0,56.39,6392.44
2014-11-25,79.69,74.63,60.21,57.13,6435.14
2014-11-26,79.4,74.85,60.13,56.91,6472.59
2014-11-27,79.87,75.07,60.62,57.09,6478.11
2014-11-30,79.62,75.08,60.27,57.22,6392.46
2014-12-01,78.5,74.31,59.94,57.42,6457.56
2014-12-02,78.82,74.8,60.02,57.55,6513.96
2014-12-03,79.19,75.42,60.53,58.09,6605.32
2014-12-04,80.15,75.49,60.99,58.52,6462.09
2014-12-07,78.61,74.61,59.6,57.2,6457.51
2014-12-08,79.06,73.98,58.98,56.44,6161.37
2014-12-09,76.06,72.28,56.82,54.29,6366.81
2014-12-10,77.42,74.06,58.33,55.78,6463.32
2014-12-11,78.54,74.53,59.33,56.29,6545.19
2014-12-14,77.54,74.76,59.35,56.93,6658.15
2014-12-15,78.58,74.64,60.2,57.74,6635.26
2014-12-16,78.02,74.32,59.77,57.25,6551.12
2014-12-17,77.23,74.68,59.74,56.91,6540.88
2014-12-18,77.73,74.43,59.8,56.13,6438.04
2014-12-21,75.84,74.08,58.67,54.93,6120.58
2014-12-22,73.36,71.27,55.63,52.3,6023.37
2014-12-23,73.02,70.49,54.93,51.92,6154.88
2014-12-24,74.02,71.56,56.31,53.03,6222.51
2014-12-25,74.79,72.01,56.65,53.46,6233.94
2014-12-28,74.76,71.82,56.54,53.17,6098.98
2014-12-29,74.04,70.23,55.68,52.36,5982.64
2014-12-30,73.23,69.63,54.68,51.55,6027.52
2015-01-04,73.76,70.41,55.28,52.08,6049.79
2015-01-05,71.47,69.51,51.73,52.38,6172.39
2015-01-06,72.24,71.21,53.23,52.91,6166.77
2015-01-07,72.1,70.42,53.24,53.0,6164.11
2015-01-08,71.95,70.85,53.48,52.74,6128.01
2015-01-11,71.57,70.44,52.72,52.72,6062.28
2015-01-12,72.13,70.25,52.59,52.34,6167.12
2015-01-13,72.97,70.88,53.81,53.63,6139.29
2015-01-14,72.92,71.45,53.71,53.5,6168.66
2015-01-15,73.12,71.61,54.09,53.66,6252.08
2015-01-18,73.63,72.12,54.78,54.4,6109.29
2015-01-19,72.57,71.47,53.72,53.64,6336.63
2015-01-20,75.06,73.41,55.31,55.63,6465.73
2015-01-21,75.14,73.96,56.98,56.09,6568.64
2015-01-22,75.8,75.12,57.93,57.43,6502.07
2015-01-25,75.49,74.52,56.95,56.56,6642.61
2015-01-26,76.78,75.74,58.1,57.31,6693.81
2015-01-27,76.88,76.14,58.22,57.27,6666.26
2015-01-28,76.43,75.95,58.02,57.6,6625.01
2015-01-29,76.31,75.52,57.82,57.42,6546.6
2015-02-01,75.63,75.42,57.45,57.07,6535.9
2015-02-02,75.51,74.83,57.62,56.73,6654.55
2015-02-03,76.44,75.76,59.16,57.7,6653.34
2015-02-04,76.18,75.43,58.95,58.04,6654.08
2015-02-05,76.04,75.28,59.14,57.8,6526.95
2015-02-08,75.45,75.05,58.62,56.59,6474.82
2015-02-09,75.46,74.04,58.26,56.31,6555.82
2015-02-10,75.54,74.55,58.27,56.78,6645.51
2015-02-11,76.39,74.97,59.11,57.66,6703.82
2015-02-12,76.84,75.7,59.73,58.06,6815.85
2015-02-15,77.11,76.71,60.32,59.33,6965.3
2015-02-16,78.51,77.9,61.49,61.05,7020.05
2015-02-24,78.91,78.04,61.75,60.86,7004.67
2015-02-25,78.77,77.93,61.91,61.06,7045.27
2015-02-26,79.48,78.08,61.95,61.11,7141.89
2015-03-01,80.09,79.01,62.45,61.67,7317.68
2015-03-02,81.56,80.57,64.0,62.51,7282.11
2015-03-03,81.73,80.7,63.99,62.98,7411.03
2015-03-04,83.28,81.65,65.11,63.95,7450.91
2015-03-05,84.11,81.33,65.82,64.06,7338.4
2015-03-08,82.36,80.53,64.25,62.87,7450.82
2015-03-09,83.02,82.01,65.11,63.41,7566.48
2015-03-10,82.77,82.96,65.18,64.44,7566.31
2015-03-11,82.86,82.24,65.45,64.13,7514.45
2015-03-12,83.33,81.93,65.89,64.42,7649.35
2015-03-15,84.27,82.61,66.22,65.38,7903.36
2015-03-16,85.21,84.76,67.88,67.09,7993.24
2015-03-17,86.18,85.02,68.35,67.68,8150.95
2015-03-18,87.65,86.06,69.26,68.48,8216.62
2015-03-19,88.01,86.34,69.24,68.87,8318.83
2015-03-22,87.71,86.79,69.71,70.18,8560.44
2015-03-23,89.24,88.48,71.22,70.94,8655.38
2015-03-24,90.27,89.09,71.15,71.1,8784.91
2015-03-25,90.99,90.47,73.53,72.66,8611.86
2015-03-26,89.84,89.23,72.71,71.85,8710.29
2015-03-29,90.43,90.13,73.55,72.9,8719.22
2015-03-30,90.99,90.11,73.55,72.37,8780.74
2015-03-31,91.54,90.86,73.55,73.05,9008.2
2015-04-01,92.91,91.57,75.2,74.64,9238.05
2015-04-02,94.49,93.19,77.26,76.19,9419.2
2015-04-06,96.27,94.51,79.38,77.81,9600.72
2015-04-07,97.25,95.03,80.55,79.02,9455.59
2015-04-08,95.04,93.01,78.81,77.14,9369.66
2015-04-09,94.43,93.18,77.82,76.97,9600.4
2015-04-12,96.39,94.29,79.45,77.93,9813.6
2015-04-13,98.18,95.44,81.62,79.48,9830.06
2015-04-14,98.39,96.33,81.23,79.27,9441.19
2015-04-15,94.81,93.36,78.24,76.12,9541.77
2015-04-16,95.56,94.08,79.1,77.17,9567.7
2015-04-19,95.44,94.0,79.01,76.92,9353.61
2015-04-20,93.8,91.81,77.63,75.62,9716.35
2015-04-21,96.25,93.49,80.58,77.9,9995.26
2015-04-22,98.25,96.44,83.13,80.03,10105.27
2015-04-23,98.97,97.06,83.16,80.86,10123.91
2015-04-26,98.62,96.18,83.13,80.52,10174.9
2015-04-27,99.19,96.53,83.39,79.83,9847.89
2015-04-28,97.45,94.59,81.88,78.56,10107.4
2015-04-29,99.51,95.72,83.35,79.0,10180.49
2015-05-03,98.86,95.99,83.32,79.88,10270.13
2015-05-04,100.18,96.69,82.85,79.7,10007.27
2015-05-05,98.12,95.73,81.22,78.43,9973.99
2015-05-06,97.34,95.24,80.83,78.15,9806.51
2015-05-07,97.08,94.29,81.02,78.33,10274.38
2015-05-10,100.28,97.42,83.56,81.6,10771.62
2015-05-11,103.36,100.45,86.55,83.83,11051.43
2015-05-12,104.4,101.37,88.32,85.25,11137.3
2015-05-13,104.8,102.24,88.89,85.6,11211.1
2015-05-14,106.19,103.67,90.1,88.26,11217.93
2015-05-17,106.42,104.01,89.13,86.46,11542.28
2015-05-18,108.35,104.79,91.42,88.75,11831.36
2015-05-19,109.03,104.82,92.06,88.97,12132.37
2015-05-20,110.27,106.56,93.55,91.71,12586.05
2015-05-21,113.27,109.36,97.6,94.94,12687.29
2015-05-24,113.0,110.11,96.84,94.74,12877.87
2015-05-25,114.39,111.08,99.23,95.19,13401.31
2015-05-26,116.63,113.69,102.23,99.76,13582.55
2015-05-27,118.17,115.77,103.31,100.6,12818.99
2015-05-28,115.08,111.39,100.37,97.0,13027.21
2015-05-31,115.86,112.59,102.32,98.61,13691.17
2015-06-01,119.48,117.12,104.92,102.09,14276.32
2015-06-02,123.29,119.5,107.25,104.74,14356.6
2015-06-03,122.5,119.57,108.28,103.46,14308.65
2015-06-04,121.8,118.77,106.65,103.82,14465.75
2015-06-07,122.93,120.3,107.83,105.08,14099.73
2015-06-08,121.21,117.89,106.38,101.8,14106.23
2015-06-09,121.96,118.19,107.12,103.45,14461.81
2015-06-10,123.52,120.54,109.53,106.07,14768.88
2015-06-11,124.76,122.01,110.92,107.98,15006.34
2015-06-14,126.16,123.41,110.86,107.78,14707.78
2015-06-15,123.56,121.67,109.8,105.68,14102.22
2015-06-16,121.29,118.24,105.98,100.82,14407.31
2015-06-17,122.74,119.53,108.17,101.91,13934.21
2015-06-18,120.61,117.03,106.89,101.01,13024.72
2015-06-22,116.37,112.57,101.25,95.01,13047.02
2015-06-23,117.22,113.09,102.99,96.83,13313.79
2015-06-24,117.77,114.54,103.87,98.42,12760.48
2015-06-25,113.91,111.6,99.61,95.42,11730.75
2015-06-28,108.47,103.82,92.51,88.92,10906.04
2015-06-29,102.79,98.84,85.68,82.46,11381.47
2015-06-30,105.67,100.72,89.09,85.79,10734.01
2015-07-01,101.07,98.89,84.18,81.61,10002.36
2015-07-02,97.93,95.34,79.21,77.33,9358.73
2015-07-05,94.74,90.49,74.6,71.65,8858.91
2015-07-06,90.67,87.56,71.19,67.73,8356.13
2015-07-07,86.88,83.83,67.31,62.95,8114.6
2015-07-08,85.0,82.71,64.99,62.6,8348.88
2015-07-09,87.44,84.2,68.12,63.36,8620.27
2015-07-12,89.12,86.19,71.09,65.68,9032.56
2015-07-13,92.96,89.1,74.16,69.84,9338.17
2015-07-14,94.71,91.46,75.74,72.33,8942.91
2015-07-15,91.9,88.36,72.83,69.04,9041.23
2015-07-16,91.86,89.02,74.83,71.13,9541.26
2015-07-19,96.19,92.77,78.78,74.26,9839.92
2015-07-20,98.48,95.46,80.3,76.77,10062.89
2015-07-21,99.45,96.27,80.81,78.53,10228.86
2015-07-22,100.67,97.12,82.52,79.25,10553.22
2015-07-23,101.81,98.82,84.28,80.31,10449.75
2015-07-26,102.02,98.37,83.13,80.51,9719.55
2015-07-27,96.75,92.95,78.74,75.39,9284.54
2015-07-28,94.09,89.62,76.44,71.7,9727.23
2015-07-29,97.01,92.33,79.28,75.37,9460.73
2015-07-30,95.47,89.9,76.5,74.09,9223.64
2015-08-02,93.77,89.86,75.68,72.36,8723.59
2015-08-03,89.22,86.09,72.02,69.04,9265.22
2015-08-04,94.05,89.57,76.03,72.62,9240.89
2015-08-05,94.06,89.8,76.07,71.87,9229.35
2015-08-06,93.98,90.19,75.8,71.5,9585.14
2015-08-09,95.71,91.28,78.1,73.78,10077.94
2015-08-10,99.19,94.66,81.37,76.98,10153.71
2015-08-11,100.04,94.95,81.6,77.84,10005.93
2015-08-12,99.56,93.84,81.18,76.39,10308.79
2015-08-13,100.74,96.25,82.88,78.39,10377.98
2015-08-16,100.63,96.1,83.61,78.61,10563.13
2015-08-17,101.51,97.28,85.56,80.48,9806.7
2015-08-18,96.84,91.45,79.11,73.73,10057.84
2015-08-19,98.07,93.35,80.38,75.84,9739.92
2015-08-20,96.87,92.78,77.52,74.85,9208.15
2015-08-23,93.02,88.92,73.3,70.83,8506.72
2015-08-24,87.7,83.19,67.3,64.73,7882.11
2015-08-25,83.04,79.11,62.06,59.71,7543.78
2015-08-26,80.02,74.66,59.45,56.37,7793.54
2015-08-27,82.15,76.17,62.06,58.75,8270.96
2015-08-30,87.33,78.82,66.14,62.28,7950.46
2015-08-31,83.87,76.06,64.13,59.69,7441.34
2015-09-01,78.82,71.89,59.14,55.4,7129.97
2015-09-06,76.65,69.57,56.18,52.2,7291.47
2015-09-07,77.82,70.74,57.93,53.84,7651.5
2015-09-08,81.2,73.93,61.6,56.87,7956.73
2015-09-09,83.97,76.64,64.06,58.96,7843.0
2015-09-10,82.69,75.46,63.88,58.16,7952.14
2015-09-13,84.03,76.72,63.93,59.35,7412.3
2015-09-14,79.09,71.76,59.16,55.01,7034.9
2015-09-15,76.71,69.73,55.95,51.95,7500.61
2015-09-16,80.52,72.28,60.31,55.64,7428.64
2015-09-17,79.85,72.12,59.78,54.91,7556.2
2015-09-20,81.04,72.34,60.59,55.68,7847.89
2015-09-21,83.16,74.28,63.56,57.59,7880.84
2015-09-22,83.43,74.8,64.09,58.57,7824.07
2015-09-23,83.03,74.44,63.38,57.42,7928.83
2015-09-24,84.34,75.61,64.18,58.56,7640.17
2015-09-27,81.59,73.72,61.89,56.86,7839.62
2015-09-28,83.81,75.55,63.88,58.24,7720.68
2015-09-29,83.12,74.74,62.8,57.03,7727.51
2015-10-07,83.52,75.35,63.39,57.57,8056.28
2015-10-08,85.97,77.59,65.53,60.51,8180.4
2015-10-11,86.99,78.67,67.49,61.86,8522.63
2015-10-12,90.58,82.18,70.44,63.96,8651.05
2015-10-13,91.08,83.23,70.69,65.06,8534.73
2015-10-14,90.05,82.36,70.14,64.6,8808.47
2015-10-15,92.95,83.89,72.73,65.45,8943.02
2015-10-18,93.98,84.85,74.05,67.01,8935.39
2015-10-19,93.17,84.75,74.85,67.58,9116.54
2015-10-20,94.39,85.77,74.26,68.36,8541.61
2015-10-21,90.67,82.75,71.74,64.84,8894.76
2015-10-22,93.31,85.22,74.37,67.05,9182.55
2015-10-25,95.63,87.66,76.2,68.93,9262.89
2015-10-26,96.62,87.77,76.61,69.66,9345.97
2015-10-27,96.54,87.74,77.67,70.53,9131.87
2015-10-28,95.55,86.52,76.49,69.69,9214.59
2015-10-29,95.89,86.84,76.99,71.03,9188.27
2015-11-01,95.28,87.27,76.74,71.15,8944.68
2015-11-02,93.5,85.97,75.11,69.85,8924.42
2015-11-03,93.78,86.94,75.05,70.24,9396.84
2015-11-04,97.66,89.26,77.84,72.6,9391.45
2015-11-05,97.65,89.57,77.59,72.21,9629.28
2015-11-08,99.63,91.61,79.42,73.56,9816.03
2015-11-09,100.48,93.46,80.5,74.79,9911.24
2015-11-10,101.26,93.56,81.31,75.23,10100.51
2015-11-11,102.38,95.59,83.1,76.84,10135.08
2015-11-12,102.35,96.19,84.04,77.74,9934.77
2015-11-15,101.08,94.12,81.26,75.36,10194.78
2015-11-16,103.13,95.54,84.07,77.19,10109.4
2015-11-17,102.26,94.68,82.67,76.06,9928.66
2015-11-18,102.06,93.45,82.44,75.83,10235.35
2015-11-19,103.05,95.64,84.4,77.94,10440.35
2015-11-22,104.15,96.31,85.76,79.46,10341.42
2015-11-23,103.11,96.48,85.18,79.05,10459.6
2015-11-24,104.68,96.68,86.7,79.86,10696.31
2015-11-25,105.25,98.21,89.34,81.27,10620.83
2015-11-26,104.91,97.73,88.38,81.54,9933.5
2015-11-29,102.25,94.21,83.75,75.88,10001.19
2015-11-30,101.89,93.96,83.84,76.15,9955.21
2015-12-01,101.74,94.87,83.2,77.42,9822.06
2015-12-02,100.35,93.11,81.85,75.97,10102.89
2015-12-03,102.95,96.05,83.96,78.07,10081.57
2015-12-06,102.93,95.29,83.32,77.16,10238.02
2015-12-07,104.05,96.2,84.91,77.56,10057.74
2015-12-08,102.72,96.07,82.43,76.63,10034.19
2015-12-09,102.49,96.64,82.33,76.95,10035.45
2015-12-10,102.34,96.83,81.96,77.56,9946.12
2015-12-13,101.11,96.06,80.95,77.24,10118.9
2015-12-14,102.19,97.3,81.49,78.53,10278.47
2015-12-15,103.34,98.34,82.05,80.1,10374.23
2015-12-16,103.92,98.48,82.61,80.37,10679.96
2015-12-17,105.48,99.36,84.09,82.0,10629.97
2015-12-20,105.27,99.6,84.68,82.48,10699.61
2015-12-21,105.55,99.9,84.66,82.88,10809.24
2015-12-22,106.31,100.72,86.13,83.19,10638.16
2015-12-23,105.48,99.12,86.21,82.85,10633.19
2015-12-24,105.09,99.53,86.49,83.49,10726.99
2015-12-27,105.78,100.08,86.38,84.59,10515.36
2015-12-28,104.53,99.09,85.54,83.31,10653.71
2015-12-29,105.42,100.23,87.07,84.35,10806.7
2015-12-30,106.69,101.18,87.23,85.14,10614.38
2016-01-03,104.95,100.33,87.12,83.87,9694.84
2016-01-04,91.86,94.47,71.23,77.03,9452.04
2016-01-05,91.19,92.09,70.46,74.24,9709.57
2016-01-06,92.4,93.89,72.42,76.41,8856.49
2016-01-07,87.39,89.48,67.06,70.62,8876.25
2016-01-10,87.15,89.42,66.59,70.54,8205.12
2016-01-11,82.65,84.79,62.64,65.73,8187.96
2016-01-12,81.74,83.95,62.0,65.84,7836.12
2016-01-13,80.36,81.39,60.49,63.6,8157.74
2016-01-14,81.44,84.14,62.09,65.91,7868.17
2016-01-17,79.72,81.55,60.37,63.42,8060.88
2016-01-18,80.86,83.58,61.69,64.82,8388.38
2016-01-19,83.11,86.0,64.26,67.39,8321.39
2016-01-20,82.48,85.87,63.62,66.79,7944.57
2016-01-21,79.8,82.8,61.12,64.23,8074.29
2016-01-24,81.01,83.75,62.09,65.03,8180.5
2016-01-25,81.37,84.69,62.33,66.22,7545.54
2016-01-26,76.84,79.67,57.69,61.31,7466.75
2016-01-27,76.62,78.93,57.17,60.59,7100.9
2016-01-28,73.25,75.75,54.56,57.38,7385.76
2016-01-31,75.79,78.96,57.34,60.03,7292.61
2016-02-01,75.53,77.71,56.64,58.96,7576.07
2016-02-02,77.62,80.32,58.92,61.33,7630.46
2016-02-03,77.91,80.69,59.07,61.69,7807.4
2016-02-04,79.67,81.97,60.55,62.51,7718.71
2016-02-14,78.56,80.84,60.0,61.96,7726.37
2016-02-15,77.55,80.98,59.59,61.98,8069.59
2016-02-16,80.77,83.99,62.41,64.41,8202.15
2016-02-17,81.65,85.02,63.03,66.24,8176.14
2016-02-18,82.01,85.06,63.32,65.81,8239.26
2016-02-21,89.44,85.48,70.1,66.12,8407.85
2016-02-22,84.06,86.98,64.63,67.66,8357.36
2016-02-23,84.07,86.43,64.72,66.85,8364.66
2016-02-24,83.69,86.25,64.33,67.31,7702.59
2016-02-25,78.54,81.45,59.58,61.56,7666.82
2016-02-28,79.0,81.4,59.74,61.55,7183.68
2016-02-29,74.91,76.39,55.37,56.61,7345.09
2016-03-01,75.83,77.48,56.8,57.09,7711.89
2016-03-02,78.76,80.21,59.3,60.02,7727.16
2016-03-03,78.94,80.11,59.04,60.28,7418.8
2016-03-06,76.91,77.95,56.75,58.22,7600.44
2016-03-07,77.94,79.16,58.13,59.53,7670.69
2016-03-08,78.63,80.33,58.2,60.41,7500.17
2016-03-09,77.8,79.75,57.32,58.86,7376.7
2016-03-10,77.07,77.97,56.74,58.0,7349.57
2016-03-13,76.92,77.57,56.79,57.78,7640.13
2016-03-14,79.38,80.21,58.86,59.61,7571.82
2016-03-15,79.19,80.08,58.79,59.37,7484.23
2016-03-16,78.28,79.28,58.14,59.04,7779.88
2016-03-17,80.68,81.46,60.23,61.27,8097.2
2016-03-20,81.38,83.65,61.94,63.1,8325.98
