date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2006-05-28,26.18,26.24,18.56,18.49,1407.43
2006-05-29,26.95,27.02,19.08,19.0,1411.5
2006-05-30,27.12,27.19,19.29,19.12,1395.47
2006-05-31,26.82,26.89,19.14,18.88,1425.94
2006-06-01,27.66,27.74,19.68,19.44,1407.81
2006-06-04,27.54,27.61,19.51,19.09,1418.53
2006-06-05,27.76,27.82,19.8,19.43,1419.21
2006-06-06,27.69,27.75,20.43,20.23,1346.63
2006-06-07,25.9,25.96,19.11,19.03,1354.23
2006-06-08,26.08,26.14,19.18,19.07,1325.58
2006-06-11,25.48,25.54,18.33,18.15,1330.54
2006-06-12,25.46,25.52,18.06,17.85,1326.06
2006-06-13,25.57,25.62,18.25,18.01,1309.95
2006-06-14,25.39,25.44,18.19,17.91,1311.62
2006-06-15,25.35,25.4,18.16,17.89,1342.94
2006-06-18,25.92,25.97,18.46,18.29,1357.38
2006-06-19,26.22,26.27,18.62,18.43,1359.94
2006-06-20,26.28,26.23,18.78,18.42,1354.4
2006-06-21,26.19,26.1,18.77,18.49,1353.51
2006-06-22,26.05,25.96,18.81,18.47,1359.36
2006-06-25,26.25,26.3,19.11,19.1,1387.55
2006-06-26,26.8,26.85,19.37,19.33,1387.67
2006-06-27,27.07,27.13,19.07,19.02,1387.64
2006-06-28,27.05,27.1,19.0,18.93,1421.08
2006-06-29,27.56,27.62,19.45,19.29,1418.34
2006-07-02,27.33,27.38,19.38,19.24,1447.38
2006-07-03,27.82,27.87,19.51,19.38,1430.95
2006-07-04,27.49,27.54,19.51,19.33,1409.15
2006-07-05,27.21,27.26,19.21,19.13,1430.04
2006-07-06,27.76,27.81,19.47,19.31,1418.3
2006-07-09,27.6,27.65,19.34,19.25,1419.61
2006-07-10,27.58,27.63,19.23,19.12,1419.96
2006-07-11,27.58,27.62,19.37,19.28,1419.83
2006-07-12,27.52,27.57,19.58,19.49,1355.14
2006-07-13,26.01,26.05,18.68,18.52,1365.41
2006-07-16,26.09,26.14,18.44,18.31,1376.18
2006-07-17,26.38,26.43,18.71,18.64,1374.76
2006-07-18,26.51,26.56,18.6,18.45,1340.13
2006-07-19,25.77,25.81,18.05,17.91,1348.22
2006-07-20,25.97,26.02,18.09,17.99,1360.78
2006-07-23,26.29,26.33,18.25,18.1,1361.39
2006-07-24,26.3,26.34,18.04,17.94,1374.29
2006-07-25,26.59,26.63,18.42,18.2,1373.32
2006-07-26,26.51,26.55,18.46,18.25,1358.63
2006-07-27,26.21,26.25,18.17,17.99,1343.46
2006-07-30,25.94,25.98,17.87,17.85,1302.74
2006-07-31,25.06,25.1,16.99,17.0,1292.38
2006-08-01,24.73,24.77,16.57,16.61,1287.19
2006-08-02,24.59,24.63,16.67,16.64,1286.83
2006-08-03,24.46,24.51,16.7,16.7,1264.86
2006-08-06,23.9,23.94,16.35,16.42,1248.02
2006-08-07,23.45,23.49,15.96,16.02,1272.22
2006-08-08,23.99,24.04,16.4,16.35,1269.55
2006-08-09,23.93,23.95,16.41,16.42,1290.82
2006-08-10,24.27,24.29,16.98,16.94,1291.45
2006-08-13,24.32,24.31,17.07,17.07,1269.42
2006-08-14,23.98,23.97,16.7,16.7,1288.43
2006-08-15,24.33,24.32,16.9,16.95,1304.03
2006-08-16,24.66,24.65,17.11,17.2,1291.69
2006-08-17,24.44,24.44,17.05,17.13,1288.21
2006-08-20,24.41,24.09,16.84,16.91,1288.4
2006-08-21,24.38,24.09,16.84,17.11,1303.4
2006-08-22,24.66,24.36,17.03,17.25,1307.06
2006-08-23,24.71,24.51,17.01,17.2,1313.45
2006-08-24,24.88,24.68,17.13,17.27,1315.34
2006-08-27,24.94,24.74,17.11,17.37,1345.68
2006-08-28,25.56,25.35,17.51,17.68,1349.46
2006-08-29,25.68,25.47,17.44,17.56,1352.33
2006-08-30,25.74,25.53,17.64,17.7,1354.13
2006-08-31,25.7,25.48,17.65,17.78,1334.35
2006-09-03,25.22,25.01,17.38,17.54,1352.95
2006-09-04,25.79,25.57,17.8,18.01,1356.04
