date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2010-11-28,71.58,56.12,54.64,44.82,4527.28
2010-11-29,71.83,56.33,54.67,44.91,4409.87
2010-11-30,70.78,54.54,53.23,43.36,4409.05
2010-12-01,70.34,54.62,53.32,43.39,4427.14
2010-12-02,71.4,54.95,53.53,43.44,4394.05
2010-12-05,70.88,54.54,52.84,43.38,4325.28
2010-12-06,69.74,53.67,52.06,42.53,4378.61
2010-12-07,69.9,54.29,52.65,43.07,4372.63
2010-12-08,70.37,54.15,52.57,43.08,4286.65
2010-12-09,70.38,53.1,51.86,42.29,4348.96
2010-12-12,70.78,53.83,52.42,43.14,4471.09
2010-12-13,70.8,55.38,53.61,44.27,4521.57
2010-12-14,71.79,56.13,54.13,44.74,4509.6
2010-12-15,72.29,56.04,53.82,44.69,4488.41
2010-12-16,71.36,55.84,54.24,44.54,4492.76
2010-12-19,71.51,55.93,53.99,44.72,4438.66
2010-12-20,71.2,55.27,53.38,43.68,4486.53
2010-12-21,71.9,55.83,54.12,43.96,4442.32
2010-12-22,71.46,55.37,52.64,43.91,4356.68
2010-12-23,70.84,54.34,52.07,43.17,4286.71
2010-12-26,70.2,53.39,51.54,42.63,4168.64
2010-12-27,69.43,51.75,50.43,41.37,4078.35
2010-12-28,68.55,51.29,49.04,40.97,4141.56
2010-12-29,69.1,52.05,49.68,41.59,4156.22
2010-12-30,68.64,52.35,49.51,41.7,4256.27
2011-01-03,65.18,50.62,48.11,40.59,4306.72
2011-01-04,50.51,50.6,39.15,41.44,4309.8
2011-01-05,50.73,50.85,39.32,41.3,4291.06
2011-01-06,50.63,51.39,38.89,41.53,4281.99
2011-01-09,50.43,51.2,38.4,41.56,4169.48
2011-01-10,48.42,49.93,37.54,40.02,4144.8
2011-01-11,48.82,49.6,37.24,39.37,4163.7
2011-01-12,49.09,49.95,37.56,39.84,4172.51
2011-01-13,49.09,49.96,37.87,40.28,4089.33
2011-01-16,48.19,49.03,37.23,39.8,3921.06
2011-01-17,46.15,47.66,35.68,37.7,3943.96
2011-01-18,46.43,47.25,35.86,37.88,4043.55
2011-01-19,47.61,48.43,36.66,38.91,3912.07
2011-01-20,46.74,47.58,36.11,37.06,3945.16
2011-01-23,47.13,47.99,35.91,37.2,3869.66
2011-01-24,46.2,47.75,35.62,36.78,3814.21
2011-01-25,45.38,46.89,34.78,36.66,3883.89
2011-01-26,46.22,47.08,35.63,37.25,3960.88
2011-01-27,46.3,47.17,36.08,37.7,4000.35
2011-01-30,46.82,47.8,36.72,37.88,4074.69
2011-01-31,47.64,48.82,37.41,38.85,4078.16
2011-02-08,47.8,48.94,37.23,38.67,4067.39
2011-02-09,47.84,49.01,36.8,38.7,4166.57
2011-02-10,48.97,50.19,38.09,39.52,4203.99
2011-02-13,49.48,50.62,38.43,39.8,4286.11
2011-02-14,50.28,51.41,38.98,40.3,4282.9
2011-02-15,50.25,51.39,39.02,40.13,4350.63
2011-02-16,51.03,52.13,39.44,40.9,4379.52
2011-02-17,51.61,52.35,39.48,40.66,4344.55
2011-02-20,51.17,51.77,39.09,40.42,4431.45
2011-02-21,52.18,52.88,39.89,41.11,4306.31
2011-02-22,49.95,51.34,38.22,40.01,4352.99
2011-02-23,49.88,51.98,38.68,40.24,4380.31
2011-02-24,50.32,52.4,38.95,40.41,4389.4
2011-02-27,51.19,51.91,39.38,40.68,4461.44
2011-02-28,51.38,51.81,39.99,40.88,4488.06
2011-03-01,52.49,52.14,40.57,40.92,4473.45
2011-03-02,51.81,52.85,40.15,40.97,4387.24
2011-03-03,50.86,52.53,39.29,40.37,4445.02
2011-03-06,51.53,52.47,39.63,41.13,4504.14
2011-03-07,52.25,52.57,39.9,41.48,4519.5
2011-03-08,51.9,52.72,40.07,41.3,4537.37
2011-03-09,53.51,52.76,40.61,41.45,4499.27
2011-03-10,53.04,52.41,40.66,41.11,4483.11
2011-03-13,52.9,51.67,40.47,40.63,4532.35
2011-03-14,52.84,53.03,41.11,41.27,4480.86
2011-03-15,52.35,52.52,40.92,41.31,4534.08
2011-03-16,52.92,52.88,41.27,41.42,4440.93
2011-03-17,51.9,51.82,40.2,40.47,4458.24
2011-03-20,52.18,52.8,40.34,40.7,4431.41
2011-03-21,51.96,52.38,39.97,40.42,4433.84
2011-03-22,51.99,51.91,40.1,40.37,4490.52
2011-03-23,52.6,51.98,40.41,40.66,4499.39
2011-03-24,52.08,52.97,40.39,40.76,4536.28
2011-03-27,52.46,52.6,40.58,40.86,4518.31
2011-03-28,51.73,51.64,40.5,41.07,4448.49
2011-03-29,52.33,52.76,40.43,41.02,4420.36
2011-03-30,51.84,51.89,39.61,40.09,4364.35
2011-03-31,51.12,51.22,39.23,39.29,4413.48
2011-04-05,51.69,51.75,39.67,39.79,4411.7
2011-04-06,51.78,51.14,39.67,39.64,4440.7
2011-04-07,52.02,51.54,40.41,40.22,4491.41
2011-04-10,52.53,52.01,40.56,40.34,4466.8
2011-04-11,53.02,52.71,40.39,40.28,4482.23
2011-04-12,52.5,51.93,40.42,40.2,4526.3
2011-04-13,53.08,52.99,40.93,40.91,4521.62
2011-04-14,53.08,53.64,40.89,40.88,4523.62
2011-04-17,53.16,52.86,41.11,40.99,4538.4
2011-04-18,53.48,53.28,41.35,40.62,4485.79
2011-04-19,52.93,52.39,40.15,39.42,4523.66
2011-04-20,53.43,52.87,41.05,40.17,4552.11
2011-04-21,53.12,51.54,41.11,40.13,4530.13
2011-04-24,53.46,50.94,40.81,39.44,4443.45
2011-04-25,52.43,50.62,39.28,39.1,4369.15
2011-04-26,52.09,50.15,39.06,38.42,4322.94
2011-04-27,51.47,49.04,38.76,37.22,4181.5
2011-04-28,50.36,48.41,37.51,37.47,4254.64
2011-05-02,50.51,47.67,37.89,36.94,4331.4
2011-05-03,51.47,47.78,38.55,37.87,4250.31
2011-05-04,51.36,47.64,38.11,37.42,4267.18
2011-05-05,51.68,47.84,38.41,37.61,4292.08
2011-05-08,51.19,48.05,38.33,37.71,4326.05
2011-05-09,51.7,48.51,38.7,37.82,4347.34
2011-05-10,50.64,48.8,38.63,37.7,4350.24
2011-05-11,51.37,48.89,38.67,37.98,4286.96
2011-05-12,51.27,48.14,38.07,37.53,4313.75
