选择,基金代码,基金简称,日期,单位净值,购入日期,购入数量,卖出日期,卖出数量
True,260104,景顺长城内需增长混合,2021-04-09,13.23,['2020-04-09'],[100],['20210-10-09'],[20]
True,162204,泰达宏利行业混合,2021-04-09,7.4802,['2021-04-09'],[0],['2021-04-09'],[0]
True,166301,华商新趋势优选灵活配置混合,2021-04-09,6.467,['2021-04-09'],[0],['2021-04-09'],[0]
True,005827,易方达蓝筹精选混合,2021-04-09,2.8442,['2021-04-09'],[0],['2021-04-09'],[0]
